DeltaMsASK	0.166469152	DeltaMsASK	0.113737163
MsASK	0.075519958	MsASK	0.076584843
MconMs3.0	0.068050044	MsAveML3.0	0.069177672
MsAveML3.0	0.051388331	MconMs3.0	0.05666826
DeltaM18h	0.050579763	DeltaM12h	0.046727779
MsAveML3.5	0.04627516	DeltaM18h	0.036597184
CumN_ML3.0	0.038035046	MsAveML3.5	0.035005586
MsStdML3.0	0.036990765	CumN_ML3.5	0.026384539
AveN_ML3.5	0.03648599	CumN_ML3.0	0.026033937
AveN_ML3.0	0.032551986	MsStdML3.5	0.025534153
MsStdML3.5	0.031617439	AveN_ML3.0	0.024451293
DeltaM12h	0.030519479	Mcon18h	0.021529778
Mcon18h	0.024582558	MsStdML3.0	0.020938951
M5.0Ty0+Ty1	0.021763925	Mmax18h	0.016915522
DeltaM6h	0.021295379	AveN_ML3.5	0.016846683
CumN_ML3.5	0.019669857	Mcon12h	0.016636052
DiffDipP/StdDipP	0.019504108	DeltaM6h	0.016221463
Mcon12h	0.018204037	Mmax12h	0.01542539
Mcon6h	0.014613589	M4.0Ty0+Ty1	0.014456482
DiffDipP	0.014594135	58DeltaM3h	0.013386734
DeltaM1h	0.014310845	60Mcon6h	0.012322169
M4.0Ty0+Ty1	0.013659645	DiffDipP	0.011433219
M3.0Ty0+Ty1	0.013010152	DiffDipP/StdDipP	0.011213563
Ms	0.011823507	DeltaM1h	0.011098287
M4.0Ty2	0.011711	M5.0Ty2	0.010411346
M5.0Ty2	0.011485588	Mmax6h	0.00969078
DipP	0.010320875	DeltaM2h	0.009131984
MeanDipP	0.009836636	M4.0Ty2	0.009114089
DiffAziP/StdAziP	0.008932713	Ms	0.009070156
M3.0Ty3	0.008588032	M5.0Ty0+Ty1	0.008693225
M3.0Ty2	0.008520618	Entropy	0.008483986
La	0.008195992	Mcon3h	0.008394278
M4.0Ty3	0.00754216	DipP	0.007973642
StdDipP	0.007014029	La	0.007624923
StrA	0.00683194	DipA	0.007405002
DiffAziP	0.006767169	M3.0Ty0+Ty1	0.007384129
M5.0Ty3	0.006408095	MeanDipP	0.007256937
MeanAziP	0.006344768	Mcon2h	0.007023365
Lo	0.005629954	49Mmax1h	0.006693462
StdAziP	0.004355582	AziP	0.006280005